door_id,last_maintenance_date,maintenance_type,number_of_past_failures,days_since_last_failure,days_to_next_failure,failed_next_30_days
G-US-000411,2024-12-24,Preventive,0,437,1.3822831790123502,
G-US-000412,2024-12-18,Inspection,0,382,1.3548932484567933,
G-US-000413,2024-09-08,Preventive,2,129,1.2342788966049418,
G-US-000414,2024-09-12,Inspection,2,1,1.235287731481483,
G-US-000415,2024-11-03,Inspection,1,628,1.320872800925929,
G-US-000416,2024-09-21,Preventive,1,748,1.3498302469135843,
G-US-000417,2024-10-21,Inspection,1,777,1.320872800925929,
G-US-000418,2024-12-15,Inspection,1,835,1.320872800925929,
P-CA-000419,2024-11-25,Preventive,2,1,0.7258964891975324,
P-CA-000420,2024-08-01,Preventive,1,780,1.2441498456790148,
P-CA-000421,2024-10-07,Preventive,1,0,0.49959097222222254,
P-CA-000422,2024-09-24,Inspection,2,0,0.38816601080246865,
I-CA-000423,2024-11-27,Preventive,2,2,0.5791930941358029,
I-CA-000424,2024-07-22,Preventive,1,646,0.7247041280864199,
I-CA-000425,2024-06-20,Inspection,1,1,0.7817043595679013,
I-CA-000426,2024-11-27,Inspection,1,0,0.6203909722222237,
I-CA-000427,2024-10-11,Corrective,6,0,0.4742015432098763,
G-CA-000428,2024-11-12,Preventive,0,242,1.3822831790123502,
G-CA-000429,2024-06-26,Inspection,1,209,1.320872800925929,
G-CA-000430,2024-12-21,Inspection,0,109,1.3548932484567933,
G-CA-000431,2024-11-18,Preventive,1,362,1.3498302469135843,
P-MX-000432,2024-11-05,Inspection,2,1,0.7317753858024706,
P-MX-000433,2024-06-19,Inspection,0,265,1.5246079475308687,
P-MX-000434,2024-09-26,Preventive,0,2,2.0205367669753147,
P-MX-000435,2024-09-20,Major Repair,4,0,0.34768314043209825,
P-MX-000436,2024-08-21,Corrective,4,1,0.4898619984567911,
P-MX-000437,2024-10-09,Inspection,3,0,0.4288965277777776,
P-MX-000438,2024-09-24,Major Repair,4,0,0.5913743441358029,
I-MX-000439,2024-08-03,Inspection,1,0,0.6495258101851847,
I-MX-000440,2024-10-16,Inspection,2,0,1.022986959876544,
I-MX-000441,2024-07-20,Inspection,1,2,0.9931029320987653,
I-MX-000442,2024-12-01,Preventive,1,1,0.6104139660493832,
I-MX-000443,2024-12-08,Corrective,4,0,0.5819636574074069,
I-MX-000444,2024-10-08,Major Repair,7,0,0.5496711419753081,
I-MX-000445,2024-07-30,Corrective,4,1,0.4620554012345674,
I-MX-000446,2024-09-14,Preventive,0,2,0.6201713734567897,
I-MX-000447,2024-09-27,Corrective,5,0,0.5822004243827161,
G-MX-000448,2024-08-22,Inspection,2,2,1.1993812500000027,
G-MX-000449,2024-07-30,Preventive,0,373,1.3822831790123502,
G-MX-000450,2024-10-19,Preventive,0,565,1.3822831790123502,
G-MX-000451,2024-12-09,Preventive,1,163,1.3498302469135843,
G-MX-000452,2024-06-01,Preventive,1,1,1.345729976851857,
G-MX-000453,2024-06-24,Preventive,2,0,1.3907918209876575,
G-MX-000454,2024-07-18,Inspection,1,197,1.320872800925929,
G-MX-000455,2024-06-06,Inspection,0,414,1.3548932484567933,
G-MX-000456,2024-05-29,Preventive,0,470,1.3822831790123502,
G-MX-000457,2024-11-13,Preventive,0,2,1.3465911265432138,
G-MX-000458,2024-09-06,Inspection,0,386,1.3548932484567933,
P-BR-000459,2024-07-14,Preventive,1,0,1.2048278549382725,
P-BR-000460,2024-09-12,Preventive,1,413,1.1179551311728406,
P-BR-000461,2024-11-30,Inspection,1,390,1.1038552469135816,
P-BR-000462,2024-11-06,Major Repair,4,1,0.8260600308641988,
P-BR-000463,2024-07-28,Major Repair,5,0,0.5475739197530862,
P-BR-000464,2024-08-09,Major Repair,6,0,0.49425524691357925,
P-BR-000465,2024-08-27,Inspection,1,0,0.6075842206790126,
P-BR-000466,2024-07-30,Major Repair,5,0,0.45908549382716085,
I-BR-000467,2024-10-09,Preventive,2,0,0.3313600694444448,
I-BR-000468,2024-07-21,Inspection,2,1,1.053664737654321,
I-BR-000469,2024-09-27,Preventive,1,2,0.3801043209876541,
I-BR-000470,2024-10-12,Preventive,0,1,0.3369250000000003,
I-BR-000471,2024-12-11,Preventive,0,2,0.5413847608024698,
I-BR-000472,2024-12-07,Preventive,1,254,0.8623913966049389,
I-BR-000473,2024-08-22,Inspection,1,0,0.38150347222222253,
I-BR-000474,2024-11-26,Major Repair,7,0,0.4504904320987661,
I-BR-000475,2024-09-02,Corrective,4,0,0.7968286651234574,
I-BR-000476,2024-12-25,Major Repair,6,0,0.5067173611111108,
I-BR-000477,2024-09-22,Corrective,7,0,0.5758585648148143,
I-BR-000478,2024-09-27,Major Repair,4,1,0.6156562499999998,
G-BR-000479,2024-12-03,Preventive,1,67,1.3498302469135843,
G-BR-000480,2024-09-17,Inspection,0,766,1.3548932484567933,
G-BR-000481,2024-12-14,Inspection,0,494,1.3548932484567933,
G-BR-000482,2024-07-21,Preventive,1,324,1.3498302469135843,
G-BR-000483,2024-11-13,Preventive,0,854,1.3822831790123502,
G-BR-000484,2024-10-03,Preventive,0,309,1.3822831790123502,
G-BR-000485,2024-12-09,Preventive,1,487,1.3498302469135843,
G-BR-000486,2024-09-15,Preventive,1,478,1.3498302469135843,
G-BR-000487,2024-07-03,Inspection,2,0,1.235287731481483,
G-BR-000488,2024-09-15,Preventive,2,661,1.2342788966049418,
P-CL-000489,2024-06-21,Preventive,3,2,1.5461221836419783,
P-CL-000490,2024-08-13,Major Repair,4,0,0.2414826774691366,
I-CL-000491,2024-08-23,Inspection,0,2,0.9730623842592596,
I-CL-000492,2024-10-02,Preventive,0,2,0.8330783179012361,
I-CL-000493,2024-09-10,Major Repair,4,0,0.5789507716049379,
G-CL-000494,2024-08-12,Preventive,0,252,1.3822831790123502,
G-CL-000495,2024-10-25,Inspection,2,408,1.2255496913580268,
G-CL-000496,2024-07-14,Inspection,2,2,1.235287731481483,
P-ZA-000497,2024-10-10,Preventive,0,1,0.9006097608024678,
P-ZA-000498,2024-12-20,Major Repair,6,0,0.4624295524691353,
I-ZA-000499,2024-10-11,Inspection,0,774,0.9172946759259266,
I-ZA-000500,2024-11-21,Inspection,1,1,1.085223842592591,
I-ZA-000501,2024-08-19,Corrective,5,0,0.43689926697530895,
G-ZA-000502,2024-09-11,Preventive,0,772,1.3822831790123502,
G-ZA-000503,2024-07-13,Inspection,0,68,1.3548932484567933,
G-ZA-000504,2024-11-15,Inspection,1,495,1.320872800925929,
